source,target,start,end
grime,dubstep,2001,2002
2-stepgarage,2-stepgarage,1998,2024
2-stepgarage,grime,1999,2000
r&b,r&b,1979,2024
r&b,newjackswing,1984,1986
r&b,soul,1986,1987
r&b,2-stepgarage,1996,1997
r&b,reggaeton,2001,2002
reggaeton,reggaeton,2002,2024
soul,soul,1987,2024
newjackswing,newjackswing,1986,2024
funk,funk,1972,2024
funk,r&b,1977,1979
funk,acidjazz,1984,1986
funk,newjackswing,1985,1986
nujazz,nujazz,1993,2024
acidjazz,acidjazz,1986,2024
acidjazz,downtempo,1989,1990
downtempo,downtempo,1990,2024
downtempo,triphop,1993,1994
triphop,triphop,1994,2024
dub,dub,1972,2024
dub,downtempo,1989,1990
dub,triphop,1993,1994
moog,moog,1967,1974
moog,funk,1971,1972
moog,soundtrack,1969,1969
soundtrack,soundtrack,1956,2024
soundtrack,modernclassical,1964,1965
modernclassical,modernclassical,1965,2024
modernclassical,soundtrack,1970,1970
indie,indie,1991,2024
chillout,chillout,1977,2024
chillout,indie,1990,1991
worldbeat,worldbeat,1982,2024
newage,newage,1976,2024
newage,chillout,1976,1977
newage,worldbeat,1981,1982
newage,ambient,1976,1977
ambient,ambient,1977,2024
ambient,darkambient,1981,1982
darkambient,darkambient,1982,2024
darkambient,drone,1982,1983
drone,drone,1983,2024
krautrock,krautrock,1970,2024
krautrock,ambient,1976,1977
minimalism,minimalism,1971,2024
musiqueconcrete,musiqueconcrete,1952,1970
musiqueconcrete,minimalism,1970,1970
experimental,experimental,1952,2024
experimental,musiqueconcrete,1952,1955
experimental,collage,1953,1956
experimental,noise,1958,1961
experimental,chiptune,1974,1978
fm,fm,1984,2024
chiptune,chiptune,1980,2024
chiptune,fm,1983,1984
chiptune,amiga%2ftracker,1984,1985
amiga%2ftracker,amiga%2ftracker,1985,2024
amiga%2ftracker,plus,1986,1987
amiga%2ftracker,fakebit,1987,1988
fakebit,fakebit,1990,2024
plus,plus,1987,2024
plus,fakebit,1987,1988
braindance,braindance,1993,2024
braindance,plus,2001,2001
ambienttechno,ambienttechno,1990,2024
ambienttechno,braindance,1992,1993
experimental,experimental,1982,1983
experimental,ambienttechno,1989,1990
experimental,drillnbass,1991,1993
experimental,glitch,1999,2000
glitch,glitch,2000,2024
glitch,glitchhop,2001,2002
glitchhop,glitchhop,2002,2024
drillnbass,drillnbass,1993,2005
drillnbass,breakcore,2001,2002
breakcore,breakcore,2002,2024
noise,noise,1961,2024
noise,industrial,1975,1976
collage,collage,1956,2024
industrial,industrial,1979,2024
industrial,darkwave,1978,1980
industrial,industrialrock,1985,1986
industrial,aggrotech,1996,1997
aggrotech,aggrotech,1997,2024
industrialrock,industrialrock,1986,2024
industrialrock,aggrotech,1996,1997
ethereal,ethereal,1984,2024
darkwave,darkwave,1980,2024
darkwave,ethereal,1983,1984
darkwave,ebm,1980,1981
newbeat,newbeat,1987,2024
futurepop,futurepop,1994,2024
ebm,ebm,1981,2024
ebm,newbeat,1986,1987
ebm,trance,1987,1989
ebm,goatrance,1990,1991
ebm,futurepop,1993,1994
psydub,psydub,1993,2024
goatrance,goatrance,1991,2024
goatrance,psydub,1992,1993
goatrance,psychedelictrance,1994,1995
psychedelictrance,psychedelictrance,1995,2024
psychedelictrance,progpsy,1995,1996
psychedelictrance,fullon,1996,1997
psychedelictrance,darkpsy,1997,1998
darkpsy,darkpsy,1998,2024
fullon,fullon,1997,2024
progpsy,progpsy,1996,2024
dreamtrance,dreamtrance,1993,2003
balearictrance,balearictrance,1991,2024
balearictrance,dreamtrance,1992,1993
trance,trance,1989,1999
trance,germantrance,1989,1992
trance,balearictrance,1990,1991
trance,progressivetrance,1993,1994
neotrance,neotrance,2005,2024
progressivetrance,progressivetrance,1994,2024
progressivetrance,techtrance,1997,1998
techtrance,techtrance,1998,2024
nrg,nrg,1995,2024
ukhardhouse,ukhardhouse,1995,2024
ukhardhouse,jumpstyle,1997,1998
jumpstyle,jumpstyle,1998,2010
jumpstyle,hardstyle,1998,1999
hardstyle,hardstyle,1999,2024
hardtrance,hardtrance,1997,2012
hardtrance,hardstyle,1998,1999
germantrance,germantrance,1992,2002
germantrance,nrg,1993,1995
germantrance,ukhardhouse,1993,1995
germantrance,eurotrance,1994,1995
germantrance,hardtrance,1996,1997
eurotrance,eurotrance,1995,2024
anthemhouse,anthemhouse,1991,2024
anthemhouse,germantrance,1991,1992
anthemhouse,eurotrance,1994,1995
anthemhouse,eurodance,1991,1992
anthemhouse,dutchhouse,2007,2008
dutchhouse,dutchhouse,2008,2024
vocaltrance,vocaltrance,1997,2024
vocaltrance,handsup,2000,2001
handsup,handsup,2001,2024
eurodance,eurodance,1992,2024
eurodance,asianpop,1992,1992
eurodance,vocaltrance,1996,1997
eurodance,handsup,2000,2001
eurodance,nuitalo,1997,1998
nuitalo,nuitalo,1998,2002
asianpop,asianpop,1991,2024
eurobeat,eurobeat,1987,2024
eurobeat,asianpop,1990,1991
italodisco,italodisco,1979,2024
italodisco,eurobeat,1986,1987
spacesynth,spacesynth,1977,2024
spacesynth,hinrg,1977,1977
spacesynth,italodisco,1978,1979
spacesynth,synthwave,2002,2003
synthwave,synthwave,2003,2024
synthpop,synthpop,1978,2024
synthpop,electroclash,1996,1997
synthpop,synthwave,2002,2003
hinrg,hinrg,1977,1989
hinrg,synthpop,1977,1978
electroclash,electroclash,1997,2024
electroclash,dancepunk,1997,1998
electroclash,filthyelectrohouse,2001,2002
filthyelectrohouse,filthyelectrohouse,2002,2024
dancepunk,dancepunk,1998,2024
dancepunk,filthyelectrohouse,2001,2002
